S/NO,QUESTIONS,OPTION A,OPTION B,OPTION C,OPTION D,OPTION E,CORRECT ANSWER,TOPIC,,,,LEVEL
378,The expenditure of a firm ongoods and services for the expansion of its productive capacity is known as,income.,investment.,savings.,profits.,interest.,B,Production,,,,ADVANCE
379,An increase in marginal propensity to save will lead to ,an increase in marginal propensity to consume.,a decrease in the level of consumption.,in immediate decrease in the net national income.,an increase in he level of consumption,a decrease in the level of savings.,B,Theory of income determination,,,,ADVANCE
380,Progressive system of taxation implies that the,poor pay relatively more.,tax rate falls as the tax base increase.,tax rate increases as the tax base increases.,average and marginal rate of tax will be the same.,rich and the poor pay the same amount as tax.,C,Taxation,,,,ADVANCE
381,Development plans in Nigeria have deviated from their targets due to,lack of manpower.,political instability.,high population growth rate.,brain drain in the country.,inadequate land.,B,Economic development and planning,,,,ADVANCE
382,The level economic development is low in Nigeria because,planning has no practical relevance.,of the pattern of consumers' spending.,the country is too large.,of ineffective plan implementation.,there is no unique planning model.,D,Economic development and planning,,,,ADVANCE
383,The stability of the Nigerian economy depends mainly on the export price of ,groundnut.,cotton.,cocoa.,mineral oil.,palm kernel.,D,International trade,,,,ADVANCE
384,Which of the following countries is a major trading partner of Nigeria?,Britain ,Canada,Japan,Germany,China,A,International trade,,,,ADVANCE
385,The instruments used in many countries to restrict imports include,high tariffs.,price index.,excise duties.,bank rate,subsidies.,A,International trade,,,,ADVANCE
386,One of the major objectives of the African Development Bank (ADB) is the mobilization of,blacks in developed countries to assist Africa.,qualified manpower for member states.,foreigners to assist Africa.,women for economic development.,Africans towards economic progress.,E,International economic organizations,,,,ADVANCE
387,Which of the following constitutes the largest exports of the developing countries to the developed ones?,Raw materials,Finished consumer goods,labour services,Arms and ammunition,Automobiles,A,Economic development and planning,,,,ADVANCE
388,"The economic system in which the decisions about what to produce, how to produce, and for whom to produce are made by private firms is called",socialism.,welfarism.,communism.,capitalism.,traditionalism.,D,Basic economic system,,,,ADVANCE
389,A major setback in any mixed economy is,that is combines both the capitalist and socialist systems.,the freedom of choice in the production and consumption of goods and services.,the government intervenes to secure full utilization of resources.,that economic decisions are determined by marketk forces.,that the absence of profit motive in the public sector may reduce incentive for hard work.,E,Basic econonic system,,,,ADVANCE
390,A table which shows the price of a commodity and the quantity of it that is demanded per unit time is a,time series.,demand series.,demand curve.,demand schedule.,time schedule.,D,Demand and supply,,,,ADVANCE
391,The greatest disadvantage of the barter system is the need for,durability.,divisibility.,homogeneity.,double coincedence of wants.,portability.,D,International trade,,,,ADVANCE
392,An inflation in which the price level rises steadily at an average rate of about 2% per annum is best described as,galloping.,induced.,creeping.,suppressed.,run-away.,C,Inflation and deflation,,,,ADVANCE
393,"In Economics, market is defined as",a place where buyers and sellers come together to exchange goods.,any arrangement made for consumers to buy all they need.,any arrangement made for producers to sell all their goods.,any arrangement whereby the buyers and sellers  are in close touch with one another.,a place where only consumer goods are sold.,D,Market structure,,,,ADVANCE
394,Money supply any any given point in time refers to,"bank notes, coins, and demand deposits.",notes and coins only.,minted money.,hoarded money.,money received as gifts.,A,Money,,,,ADVANCE
395,All the following are sources of finance to a Joint Stock Company except,Bank loan,Equity shares,Debentures,Preference shares,Co-operative thrift,E,Business organizations,,,,ADVANCE
396,Data presented in tables are usually arranged in,charts and tables.,rows and columns.,graphs and rows.,pictorgrams and columns.,maps and pie charts.,B,Basic tools for economic analysis,,,,ADVANCE
397,Which of the following is NOT a function of money?,Store of value,Unit of account,Measure of value,Standard for deferred payment,Stability in value,E,Money,,,,ADVANCE
398,Which of the following is NOT appropriate in calculating national income figures?,Output method,Income method,expenditure method ,Value added method,Depreciation method,E,National income,,,,INTERMIDATE
399,"What is the correct term for this group of exports: tractors, television, components, drugs, and cars?",Current account items,Visible exports,Capital account items,Invisible exports,Visibile imports,B,International trade,,,,INTERMIDATE
400,Mobility of labour is not affected by,the optimum size of population.,marriage and family.,the regulation of trade unions.,the period of training.,cultural and religious beliefs.,A,Production,,,,INTERMIDATE
401,"Given that fixed cost is ₦500.00, variable cost is ₦1,500.00 and output is 50 units, what will be the average cost of producing one unit?","₦2,000.00",₦60.00,₦50.00,₦40.00,₦30.00,D,Theory of cost,,,,INTERMIDATE
402,Which of the following is regarded as fixed cost?,Cost of raw materials,Cost of fuel,Cost of light,Rent on land,Labour wages,D,Theory of cost,,,,INTERMIDATE
403,Which of the following reasons explains the upward sloping supply curve in a competitive market?,"Ceteris paribus, marginal cost increases as output increases","As new firms enter the market, factor prices move up",Firms are in business to satisfy consumers,Marginal cost often increases in a competitive market,Firms are in business to produce goods,A,Demand and supply,,,,INTERMIDATE
